Sample,Name,Origin,Species,lat,long,Type,Flower_time (day)
R4246,Altex,Canada,Brassica napus L.,42.9833893,-81.2330399,Spring,NA
R4247,"Altex, Stamm 73 G 438",Canada,Brassica napus L.,48.4329357,-123.3693008,Spring,NA
R4248,Regent,Canada,Brassica napus L.,42.3000836,-83.0165405,Spring,166
R4249,Target,Canada,Brassica napus L.,43.9001204,-78.8495712,Spring,154
R4250,Tanka,Canada,Brassica napus L.,52.1167863,-106.6345215,Spring,161
R4251,"Triton, Oac Triton",Canada,Brassica napus L.,44.4001075,-79.6663361,Spring,171
R4252,Westar,Canada,Brassica napus L.,49.1700323,-123.1368256,Spring,152
R4253,Reston,Canada,Brassica napus L.,50.4500801,-104.6177979,Spring,154
R4254,unknown,Canada,Brassica napus L.,46.4900017,-80.9900055,Spring,157
R4255,Andor,Canada,Brassica napus L.,49.0579767,-122.2525711,Spring,153
R4256,acelga,Cuba,Brassica napus L.,21.385021,-77.902055,Spring,167
R4257,unknown,Cuba,Brassica napus L.,21.29804,-77.826524,Spring,174
R4258,unknown,Cuba,Brassica napus L.,21.37479,-77.474962,Spring,NA
R4259,"Sator Otofte, Wilhelmsburger Sator Otofte, Sato",Denmark,Brassica napus L.,55.6776812,12.5709343,Winter,NA
R4260,Line,Denmark,Brassica napus L.,56.1567366,10.210762,Spring,NA
R4261,Helios Aarslev,Denmark,Brassica napus L.,55.3959381,10.3883133,Winter,180
R4262,"Ruta Otofte , Ruta",Denmark,Brassica napus L.,57.047999,9.9187012,Winter,NA
R4263,Danmark,Denmark,Brassica napus L.,55.679375,12.5346279,Winter,181
R4264,Mozart,Denmark,Brassica napus L.,55.4666667,8.4499998,Spring,175
R4265,Optima,Denmark,Brassica napus L.,55.8606582,9.850337,Spring,166
R4266,Vega,Denmark,Brassica napus L.,55.6571864,12.4736395,Spring,157
R4267,Kintol,Denmark,Brassica napus L.,55.5833333,12.3000002,Winter,182
R4268,"Magres Pajbjerg, Magres",Denmark,Brassica napus L.,56.1393151,8.9737806,Winter,NA
R4269,Willi,Denmark,Brassica napus L.,55.6415192,12.0803471,Spring,165
R4270,Nimbus,Denmark,Brassica napus L.,56.1697004,9.5450811,Spring,175
R4271,Symbol,Denmark,Brassica napus L.,55.8833333,12.5,Winter,NA
R4272,Ld 9431,Denmark,Brassica napus L.,56.0360649,12.6136026,Winter,186
R4273,Industry,Denmark,Brassica napus L.,56.4531891,9.4020119,Spring,NA
R4274,Bingo,Denmark,Brassica napus L.,55.4580174,12.1821375,Spring,168
R4275,Kuusiku,Estonia,Brassica napus L.,58.595272,25.013607,Winter,NA
R4276,Arvor,France,Brassica napus L.,48.85341,2.3487999,Winter,NA
R4277,"Lingot, R-26",France,Brassica napus L.,43.3,5.4000001,Winter,181
R4278,Parapluie,France,Brassica napus L.,45.75,4.8499999,Winter,183
R4279,R 78,France,Brassica napus L.,43.6042619,1.4436722,Winter,185
R4280,"Rafal, R 40",France,Brassica napus L.,43.7031261,7.2660828,Winter,NA
R4281,Brutor,France,Brassica napus L.,43.6,3.8833332,Spring,165
R4282,Cresor,France,Brassica napus L.,44.8333333,-0.5666667,Spring,175
R4283,Tonus,France,Brassica napus L.,50.6333333,3.0666666,Winter,184
R4284,R 77,France,Brassica napus L.,48.0833333,-1.6833333,Winter,NA
R4285,Sarepta,France,Brassica napus L.,45.4333333,4.4000001,Winter,183
R4286,unknown,France,Brassica napus L.,43.1166667,5.9333334,Winter,183
R4287,Tim,France,Brassica napus L.,47.4666667,-0.55,Winter,185
R4288,Brio,France,Brassica napus L.,45.1666667,5.7166667,Spring,165
R4289,Darmor,France,Brassica napus L.,43.8333333,4.3499999,Winter,179
R4290,"Bienvenue, R 33",France,Brassica napus L.,43.5282956,5.4497337,Winter,177
R4291,"Darmor, JN 332",France,Brassica napus L.,48.4,-4.4833331,Winter,182
R4292,Inra,France,Brassica napus L.,48,0.2,Winter,183
R4293,"Primor, P - R",France,Brassica napus L.,49.9,2.3,Winter,NA
R4294,Titus,France,Brassica napus L.,45.7666667,4.8833332,Winter,181
R4295,"Kentan, R 68 A",France,Brassica napus L.,47.25,6.0333333,Winter,184
R4296,"Kid, R 47",France,Brassica napus L.,47.9166667,1.9,Winter,179
R4297,Marcus,France,Brassica napus L.,49.4431288,1.0993195,Winter,180
R4298,Ramses,France,Brassica napus L.,47.75,7.3333335,Winter,NA
R4299,"Jet Neuf, R 39",France,Brassica napus L.,42.6976397,2.8954124,Winter,179
R4300,R 66 A,France,Brassica napus L.,49.1810862,-0.3712177,Winter,NA
R4301,unknown,France,Brassica napus L.,48.8333333,2.25,Winter,181
R4302,Tantal,France,Brassica napus L.,48.6833333,6.1999998,Spring,NA
R4303,"B 001, Samourai",France,Brassica napus L.,48.95,2.25,Winter,NA
R4304,"Cresor, C.r.o.",France,Brassica napus L.,50.7166667,3.1500001,Spring,166
R4305,Gaspard,France,Brassica napus L.,48.8666667,2.4333334,Winter,183
R4306,R 73,France,Brassica napus L.,43.95,4.8166666,Winter,185
R4307,Jet Neuf,France,Brassica napus L.,48.9166667,2.2833333,Winter,182
R4308,Primor,France,Brassica napus L.,48.9,2.2,Winter,182
R4309,unknown,France,Brassica napus L.,46.5833333,0.3333333,Winter,184
R4310,Jade,France,Brassica napus L.,48.7833333,2.4000001,Winter,182
R4311,Toro,France,Brassica napus L.,48.95,2.5166667,Spring,167
R4312,"Brutor, R-69-6",France,Brassica napus L.,46.1666667,-1.15,Spring,170
R4313,Cresus,France,Brassica napus L.,48.8166667,2.5166667,Winter,NA
R4314,Janus,France,Brassica napus L.,48.8833333,2.2,Winter,177
R4315,Major,France,Brassica napus L.,43.5833333,7.1166668,Winter,178
R4316,"Orpal, Crop",France,Brassica napus L.,43.35,3.25,Spring,169
R4317,R 61,France,Brassica napus L.,51.05,2.3666668,Winter,179
R4318,"Tandem, In 404",France,Brassica napus L.,48.9166667,2.3833332,Winter,184
R4319,unknown,Georgia,Brassica napus L.,41.715138,44.827096,Winter,NA
