id	type
R5032	Semi-Winter
R5033	Semi-Winter
R5034	Semi-Winter
R5035	Semi-Winter
R5036	Semi-Winter
R5037	Semi-Winter
R5038	Semi-Winter
R5039	Semi-Winter
R5040	Semi-Winter
R5041	Semi-Winter
R5042	Semi-Winter
R5043	Semi-Winter
R5044	Semi-Winter
R5045	Spring
R5046	Semi-Winter
R5047	Spring
R5048	Semi-Winter
R5049	Spring
R5050	Semi-Winter
R5051	Semi-Winter
R5052	Semi-Winter
R5053	Semi-Winter
R5054	Semi-Winter
R5055	Semi-Winter
R5056	Semi-Winter
R5057	Semi-Winter
R5058	Semi-Winter
R5059	Semi-Winter
R5060	Semi-Winter
R5061	Semi-Winter
R5062	Semi-Winter
R5063	Semi-Winter
R5064	Semi-Winter
R5065	Semi-Winter
R5066	Semi-Winter
R5067	Semi-Winter
R5068	Semi-Winter
R5069	Semi-Winter
R5070	Semi-Winter
R5071	Semi-Winter
R5072	Semi-Winter
R5073	Semi-Winter
R5074	Semi-Winter
R5075	Semi-Winter
R5076	Semi-Winter
R5077	Semi-Winter
R5078	Semi-Winter
R5079	Semi-Winter
R5080	Semi-Winter
R5081	Semi-Winter
R5082	Semi-Winter
R5083	Semi-Winter
R5084	Semi-Winter
R5085	Semi-Winter
R5086	Semi-Winter
R5087	Semi-Winter
R5088	Semi-Winter
R5089	Semi-Winter
R5090	Winter
R5091	Semi-Winter
R5092	Semi-Winter
R5093	Semi-Winter
R5094	Semi-Winter
R5095	Semi-Winter
R5096	Semi-Winter
R5097	Winter
R5098	Semi-Winter
R5099	Semi-Winter
R5100	Semi-Winter
R5101	Semi-Winter
R5102	Spring
R5103	Semi-Winter
R5104	Semi-Winter
R5105	Semi-Winter
R5106	Semi-Winter
R5107	Semi-Winter
R5108	Semi-Winter
R5109	Semi-Winter
R5110	Semi-Winter
R5111	Spring
R5112	Semi-Winter
R5113	Semi-Winter
R5114	Semi-Winter
R5115	Semi-Winter
R5116	Semi-Winter
R5117	Semi-Winter
R5118	Semi-Winter
R5119	Winter
R5120	Spring
R5121	Semi-Winter
R5122	Spring
R5123	Semi-Winter
R5124	Semi-Winter
R5125	Semi-Winter
R5126	Semi-Winter
R5127	Semi-Winter
R5128	Semi-Winter
R5129	Semi-Winter
R5130	Semi-Winter
R5131	Semi-Winter
R5132	Semi-Winter
R5133	Semi-Winter
R5134	Semi-Winter
R5135	Semi-Winter
R5136	Semi-Winter
R5137	Winter
R5138	Spring
R5139	Semi-Winter
R5140	Semi-Winter
R5141	Semi-Winter
R5142	Semi-Winter
R5143	Semi-Winter
R5144	Semi-Winter
R5145	Semi-Winter
R5146	Semi-Winter
R5147	Spring
R5148	Winter
R5149	Semi-Winter
R5150	Semi-Winter
R5151	Semi-Winter
R5152	Semi-Winter
R5153	Semi-Winter
R5154	Spring
R5155	Semi-Winter
R5156	Semi-Winter
R5157	Semi-Winter
R5158	Semi-Winter
R5159	Semi-Winter
R5160	Semi-Winter
R5161	Semi-Winter
